sentence,true_label,finbert_prediction,finbert_confidence,finbert_correct,distilbert_prediction,distilbert_confidence,distilbert_correct,electra_prediction,electra_confidence,electra_correct,electra_raw_label,finbert_prob_positive,finbert_prob_negative,finbert_prob_neutral
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,negative,0.9725,True,negative,0.9928,True,positive,0.9222,False,joy,0.0082,0.9725,0.0193
Shire proposes $30 bln all-share tie-up with Baxalta,positive,neutral,0.9054,False,negative,0.9904,False,positive,0.4973,True,joy,0.0847,0.0099,0.9054
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",positive,positive,0.9561,True,positive,0.9995,True,positive,0.9485,True,joy,0.9561,0.0209,0.023
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,neutral,0.9335,True,negative,0.9972,False,positive,0.8921,False,joy,0.0549,0.0116,0.9335
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,negative,0.7357,True,negative,0.9405,True,positive,0.9076,False,joy,0.2429,0.7357,0.0215
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive,positive,0.7617,True,positive,0.9972,True,positive,0.9281,True,joy,0.7617,0.0075,0.2308
$INTC finally some nice downside move... looking for the 31 handle to break,negative,positive,0.6439,False,negative,0.9316,True,positive,0.9132,False,joy,0.6439,0.0277,0.3284
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,positive,neutral,0.8568,False,positive,0.7743,True,positive,0.8085,True,joy,0.1308,0.0124,0.8568
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,negative,0.9739,True,negative,0.9919,True,negative,0.8037,True,sadness,0.0091,0.9739,0.017
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative,negative,0.7929,True,negative,0.9953,True,neutral,0.4398,False,anger,0.021,0.7929,0.186
Irish housebuilder Cairn Homes plans London listing,positive,neutral,0.9328,False,positive,0.985,True,positive,0.5399,True,joy,0.048,0.0192,0.9328
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,neutral,negative,0.9746,False,negative,0.9973,False,positive,0.7947,False,joy,0.0107,0.9746,0.0147
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,0.954,True,negative,0.9378,False,positive,0.9057,True,joy,0.954,0.0249,0.0211
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,neutral,0.9368,True,negative,0.9652,False,positive,0.5268,False,joy,0.0469,0.0163,0.9368
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,neutral,0.9029,True,positive,0.8967,False,positive,0.3168,False,joy,0.0277,0.0693,0.9029
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive,positive,0.5816,True,negative,0.9984,False,negative,0.5955,False,sadness,0.5816,0.0144,0.4039
Rental of building equipment accounted for 88 percent of the operating income .,neutral,neutral,0.9331,True,positive,0.8709,False,positive,0.888,False,joy,0.0433,0.0235,0.9331
bot $AMZN 600 weekly calls here @ 5.93,positive,neutral,0.9391,False,negative,0.9954,False,neutral,0.4568,False,anger,0.0262,0.0347,0.9391
"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,neutral,0.7133,True,positive,0.9069,False,positive,0.8742,False,joy,0.2776,0.0091,0.7133
CompaniesCar insurer Hastings Group driving Â£180m IPO,positive,neutral,0.8429,False,negative,0.9883,False,positive,0.6572,True,joy,0.1362,0.0209,0.8429
Growth is expected to continue in 2008 .,positive,positive,0.9331,True,positive,0.9991,True,positive,0.885,True,joy,0.9331,0.0125,0.0544
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive,positive,0.9494,True,positive,0.9994,True,positive,0.9442,True,joy,0.9494,0.0144,0.0361
$GTAT Will re-enter short on bounce...,negative,negative,0.9271,True,negative,0.999,True,positive,0.4414,False,joy,0.0194,0.9271,0.0535
$DISH weakness continues again. 49.43 area resistance after last week,negative,negative,0.9126,True,negative,0.9949,True,negative,0.7364,True,sadness,0.053,0.9126,0.0344
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,positive,0.8505,True,positive,0.9996,True,positive,0.9358,True,joy,0.8505,0.0063,0.1432
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,negative,0.9766,True,negative,0.9983,True,positive,0.4281,False,joy,0.0073,0.9766,0.0161
$GOOG resistance turned support?  It,positive,neutral,0.7814,False,negative,0.9959,False,negative,0.4889,False,sadness,0.1341,0.0845,0.7814
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,negative,0.9761,True,negative,0.9978,True,positive,0.8901,False,joy,0.0067,0.9761,0.0171
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,negative,0.9478,True,negative,0.9953,True,negative,0.7966,True,sadness,0.0133,0.9478,0.0388
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative,negative,0.9579,True,negative,0.9995,True,negative,0.917,True,sadness,0.016,0.9579,0.0261
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,neutral,negative,0.9761,False,negative,0.9974,False,positive,0.4502,False,joy,0.0077,0.9761,0.0162
"`` Adjustment to the fall in price level , in contrast , has been less effective .",negative,negative,0.9415,True,negative,0.9992,True,positive,0.95,False,joy,0.0232,0.9415,0.0353
"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",positive,positive,0.7919,True,positive,0.9985,True,positive,0.92,True,joy,0.7919,0.007,0.2011
"The contract includes software licences , application maintenance and training .",neutral,neutral,0.9346,True,negative,0.9088,False,positive,0.8502,False,joy,0.0522,0.0133,0.9346
$NUGT Gold above 1400...wow,positive,neutral,0.7528,False,positive,0.9937,True,positive,0.4043,True,joy,0.2274,0.0198,0.7528
Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,positive,positive,0.7653,True,negative,0.9549,False,positive,0.9284,True,joy,0.7653,0.0099,0.2248
Other potential clients include public administration organizations investing in utility networks and services .,neutral,neutral,0.8626,True,positive,0.9764,False,positive,0.887,False,joy,0.1295,0.0078,0.8626
"I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA .",neutral,neutral,0.8521,True,negative,0.9885,False,neutral,0.435,True,fear,0.1249,0.023,0.8521
"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",positive,positive,0.9353,True,positive,0.9992,True,positive,0.8976,True,joy,0.9353,0.0086,0.0561
`` Leipurin is a growing and rapidly internationalizing Group .,positive,positive,0.7913,True,positive,0.9995,True,positive,0.8668,True,joy,0.7913,0.0071,0.2016
The changes in readership were not significant .,neutral,neutral,0.8079,True,negative,0.9997,False,positive,0.9392,False,joy,0.1611,0.0309,0.8079
Sainsbury's says to outperform rivals in tough market,positive,positive,0.9405,True,positive,0.5618,True,positive,0.6379,True,joy,0.9405,0.0126,0.0469
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",negative,negative,0.9575,True,positive,0.9666,False,positive,0.8947,False,joy,0.0134,0.9575,0.0291
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,negative,0.9455,True,negative,0.999,True,positive,0.6708,False,joy,0.0087,0.9455,0.0458
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral,neutral,0.7414,True,negative,0.5815,False,positive,0.8861,False,joy,0.2503,0.0083,0.7414
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative,negative,0.9729,True,negative,0.9993,True,negative,0.4783,True,sadness,0.0089,0.9729,0.0183
The Swedish player became majority owner of UCell in mid-2007 .,neutral,neutral,0.9482,True,positive,0.8275,False,positive,0.8746,False,joy,0.0335,0.0182,0.9482
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative,negative,0.9069,True,negative,0.9906,True,love,0.5709,False,love,0.0112,0.9069,0.0818
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral,neutral,0.9439,True,positive,0.9927,False,positive,0.8987,False,joy,0.0362,0.0199,0.9439
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",positive,positive,0.4967,True,negative,0.986,False,positive,0.4293,True,joy,0.4967,0.4808,0.0225
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,positive,0.9583,True,positive,0.9755,True,positive,0.9273,True,joy,0.9583,0.0144,0.0274
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",neutral,neutral,0.8776,True,negative,0.8181,False,positive,0.9173,False,joy,0.1142,0.0082,0.8776
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive,neutral,0.5614,False,negative,0.9887,False,positive,0.7753,True,joy,0.3616,0.0771,0.5614
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,negative,neutral,0.5094,False,positive,0.9856,False,positive,0.3351,False,joy,0.3863,0.1043,0.5094
Shell share price: Standard Life announce position against BG acquisition,negative,neutral,0.8698,False,negative,0.9851,True,positive,0.565,False,joy,0.046,0.0842,0.8698
Johnson Matthey share price slumps as company posts full-year results,negative,negative,0.9717,True,negative,0.9997,True,negative,0.7592,True,sadness,0.0089,0.9717,0.0194
"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .",neutral,neutral,0.8911,True,negative,0.7912,False,positive,0.8726,False,joy,0.0993,0.0096,0.8911
"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said .",neutral,neutral,0.8932,True,positive,0.6671,False,neutral,0.3859,True,anger,0.0981,0.0087,0.8932
$GS sells flat..I am out..,negative,negative,0.884,True,negative,0.9998,True,neutral,0.2976,False,anger,0.0219,0.884,0.0941
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive,neutral,0.9323,False,positive,0.5736,True,positive,0.6717,True,joy,0.0534,0.0144,0.9323
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,negative,negative,0.7977,True,negative,0.9943,True,neutral,0.6314,False,anger,0.0344,0.7977,0.1679
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive,positive,0.9524,True,negative,0.9901,False,negative,0.4541,False,sadness,0.9524,0.0277,0.0199
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,neutral,0.6525,True,negative,0.9973,False,positive,0.8364,False,joy,0.0258,0.3218,0.6525
The company expects its net sales for the whole 2009 to remain below the 2008 level .,negative,negative,0.9701,True,negative,0.9995,True,positive,0.9365,False,joy,0.0091,0.9701,0.0208
"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .",positive,positive,0.9459,True,negative,0.6927,False,positive,0.941,True,joy,0.9459,0.0223,0.0319
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive,negative,0.9058,False,negative,0.9984,False,neutral,0.5651,False,fear,0.0152,0.9058,0.079
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,neutral,0.9031,True,positive,0.9907,False,positive,0.9187,False,joy,0.0863,0.0107,0.9031
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral,negative,0.9387,False,negative,0.9994,False,neutral,0.5147,True,anger,0.0085,0.9387,0.0528
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",negative,negative,0.9757,True,negative,0.9931,True,negative,0.6252,True,sadness,0.0084,0.9757,0.0159
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",positive,positive,0.9395,True,negative,0.9797,False,positive,0.7265,True,joy,0.9395,0.0259,0.0345
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,neutral,negative,0.9727,False,negative,0.9998,False,negative,0.8411,False,sadness,0.007,0.9727,0.0203
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,negative,negative,0.9609,True,negative,0.9993,True,neutral,0.4241,False,anger,0.0085,0.9609,0.0307
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive,positive,0.9513,True,negative,0.9833,False,positive,0.8465,True,joy,0.9513,0.0264,0.0223
Asian traffic declined by 3.4 per cent .,neutral,negative,0.9744,False,negative,0.9963,False,neutral,0.5077,True,anger,0.009,0.9744,0.0166
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative,negative,0.9648,True,negative,0.9995,True,positive,0.9248,False,joy,0.0089,0.9648,0.0263
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,positive,positive,0.933,True,negative,0.9487,False,positive,0.6462,True,joy,0.933,0.0436,0.0234
The electricity requirement of networks will grow with the new mobile generation .,neutral,positive,0.8858,False,positive,0.9927,False,positive,0.8841,False,joy,0.8858,0.0069,0.1074
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,negative,0.9458,True,negative,0.9975,True,neutral,0.4684,False,anger,0.0405,0.9458,0.0136
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative,negative,0.9547,True,negative,0.9973,True,neutral,0.5433,False,anger,0.008,0.9547,0.0373
"Tesco, Asda sales fall as march of the discounters continues-Kantar",negative,negative,0.9661,True,negative,0.999,True,positive,0.6309,False,joy,0.0075,0.9661,0.0264
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,negative,neutral,0.8919,False,negative,0.9993,True,neutral,0.3856,False,anger,0.0775,0.0306,0.8919
"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,neutral,0.8765,True,negative,0.8673,False,positive,0.8521,False,joy,0.0687,0.0547,0.8765
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.9519,True,positive,0.9995,True,positive,0.8071,True,joy,0.9519,0.0129,0.0352
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,positive,positive,0.8346,True,positive,0.9994,True,positive,0.9284,True,joy,0.8346,0.0065,0.159
"The most important export markets are Norway , Germany , Russia and France .",neutral,neutral,0.8914,True,positive,0.9953,False,positive,0.9422,False,joy,0.0972,0.0113,0.8914
"Several large stocks tacked lower , however .",negative,negative,0.9451,True,negative,0.9964,True,neutral,0.3962,False,fear,0.0207,0.9451,0.0342
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,neutral,0.954,True,negative,0.8362,False,positive,0.6985,False,joy,0.0286,0.0174,0.954
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive,positive,0.9578,True,negative,0.9662,False,positive,0.5824,True,joy,0.9578,0.0241,0.018
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,negative,0.9748,True,negative,0.9987,True,negative,0.5961,True,sadness,0.0085,0.9748,0.0167
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral,neutral,0.6849,True,positive,0.9958,False,positive,0.915,False,joy,0.3073,0.0078,0.6849
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,neutral,negative,0.9746,False,negative,0.9996,False,negative,0.6918,False,sadness,0.0087,0.9746,0.0167
"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",neutral,neutral,0.7637,True,negative,0.9787,False,neutral,0.3961,True,anger,0.0244,0.2119,0.7637
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,negative,negative,0.975,True,negative,0.9959,True,negative,0.532,True,sadness,0.01,0.975,0.015
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,positive,0.9152,True,negative,0.966,False,positive,0.8966,True,joy,0.9152,0.0088,0.076
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral,neutral,0.9456,True,negative,0.5325,False,positive,0.8826,False,joy,0.0382,0.0162,0.9456
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,negative,0.9745,True,negative,0.999,True,negative,0.8055,True,sadness,0.0169,0.9745,0.0086
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,positive,neutral,0.529,False,positive,0.9997,True,positive,0.9422,True,joy,0.4574,0.0137,0.529
"It 's `` finger-friendly '' , and to my opinion , really fast .",neutral,neutral,0.6165,True,positive,0.9982,False,positive,0.9336,False,joy,0.3721,0.0115,0.6165
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive,0.9548,True,negative,0.8968,False,positive,0.4837,True,joy,0.9548,0.0239,0.0213
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,0.9584,True,positive,0.945,True,positive,0.8079,True,joy,0.9584,0.0218,0.0198
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,neutral,negative,0.9323,False,negative,0.9932,False,negative,0.5663,False,sadness,0.0169,0.9323,0.0507
