sentence,true_label,finbert_pred,finbert_correct,fin_roberta_pred,fin_roberta_correct,gen_roberta_pred,gen_roberta_correct
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,negative,True,negative,True,neutral,False
Shire proposes $30 bln all-share tie-up with Baxalta,positive,neutral,False,neutral,False,neutral,False
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",positive,positive,True,positive,True,positive,True
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,neutral,True,neutral,True,neutral,True
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,negative,True,positive,False,neutral,False
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive,positive,True,neutral,False,neutral,False
$INTC finally some nice downside move... looking for the 31 handle to break,negative,positive,False,positive,False,positive,False
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,positive,neutral,False,positive,True,neutral,False
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,negative,True,negative,True,negative,True
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative,negative,True,negative,True,neutral,False
Irish housebuilder Cairn Homes plans London listing,positive,neutral,False,neutral,False,neutral,False
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,neutral,negative,False,negative,False,neutral,True
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,True,positive,True,neutral,False
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,neutral,True,neutral,True,neutral,True
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,neutral,True,neutral,True,neutral,True
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive,positive,True,positive,True,neutral,False
Rental of building equipment accounted for 88 percent of the operating income .,neutral,neutral,True,neutral,True,neutral,True
bot $AMZN 600 weekly calls here @ 5.93,positive,neutral,False,neutral,False,neutral,False
"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,neutral,True,neutral,True,neutral,True
CompaniesCar insurer Hastings Group driving Â£180m IPO,positive,neutral,False,neutral,False,neutral,False
Growth is expected to continue in 2008 .,positive,positive,True,positive,True,neutral,False
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive,positive,True,positive,True,positive,True
$GTAT Will re-enter short on bounce...,negative,negative,True,negative,True,neutral,False
$DISH weakness continues again. 49.43 area resistance after last week,negative,negative,True,negative,True,negative,True
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,positive,True,positive,True,positive,True
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,negative,True,negative,True,neutral,False
$GOOG resistance turned support?  It,positive,neutral,False,positive,True,neutral,False
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,negative,True,negative,True,neutral,False
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,negative,True,neutral,False,neutral,False
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative,negative,True,negative,True,negative,True
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,neutral,negative,False,negative,False,neutral,True
"`` Adjustment to the fall in price level , in contrast , has been less effective .",negative,negative,True,negative,True,negative,True
"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",positive,positive,True,neutral,False,neutral,False
"The contract includes software licences , application maintenance and training .",neutral,neutral,True,neutral,True,neutral,True
$NUGT Gold above 1400...wow,positive,neutral,False,neutral,False,positive,True
Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,positive,positive,True,neutral,False,neutral,False
Other potential clients include public administration organizations investing in utility networks and services .,neutral,neutral,True,neutral,True,neutral,True
"I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA .",neutral,neutral,True,neutral,True,neutral,True
"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",positive,positive,True,positive,True,positive,True
`` Leipurin is a growing and rapidly internationalizing Group .,positive,positive,True,neutral,False,neutral,False
The changes in readership were not significant .,neutral,neutral,True,neutral,True,neutral,True
Sainsbury's says to outperform rivals in tough market,positive,positive,True,positive,True,neutral,False
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",negative,negative,True,neutral,False,neutral,False
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,negative,True,neutral,False,neutral,False
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral,neutral,True,neutral,True,neutral,True
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative,negative,True,negative,True,negative,True
The Swedish player became majority owner of UCell in mid-2007 .,neutral,neutral,True,neutral,True,neutral,True
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative,negative,True,negative,True,negative,True
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral,neutral,True,neutral,True,neutral,True
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",positive,positive,True,positive,True,neutral,False
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,positive,True,positive,True,positive,True
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",neutral,neutral,True,neutral,True,neutral,True
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive,neutral,False,positive,True,positive,True
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,negative,neutral,False,positive,False,positive,False
Shell share price: Standard Life announce position against BG acquisition,negative,neutral,False,neutral,False,neutral,False
Johnson Matthey share price slumps as company posts full-year results,negative,negative,True,negative,True,negative,True
"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .",neutral,neutral,True,neutral,True,neutral,True
"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said .",neutral,neutral,True,neutral,True,neutral,True
$GS sells flat..I am out..,negative,negative,True,neutral,False,negative,True
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive,neutral,False,neutral,False,neutral,False
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,negative,negative,True,neutral,False,negative,True
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive,positive,True,positive,True,neutral,False
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,neutral,True,negative,False,neutral,True
The company expects its net sales for the whole 2009 to remain below the 2008 level .,negative,negative,True,negative,True,neutral,False
"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .",positive,positive,True,positive,True,positive,True
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive,negative,False,negative,False,negative,False
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,neutral,True,neutral,True,neutral,True
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral,negative,False,negative,False,negative,False
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",negative,negative,True,negative,True,neutral,False
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",positive,positive,True,positive,True,neutral,False
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,neutral,negative,False,negative,False,negative,False
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,negative,negative,True,negative,True,neutral,False
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive,positive,True,positive,True,neutral,False
Asian traffic declined by 3.4 per cent .,neutral,negative,False,negative,False,negative,False
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative,negative,True,negative,True,neutral,False
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,positive,positive,True,positive,True,positive,True
The electricity requirement of networks will grow with the new mobile generation .,neutral,positive,False,positive,False,neutral,True
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,negative,True,negative,True,neutral,False
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative,negative,True,neutral,False,negative,True
"Tesco, Asda sales fall as march of the discounters continues-Kantar",negative,negative,True,negative,True,neutral,False
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,negative,neutral,False,neutral,False,neutral,False
"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,neutral,True,neutral,True,neutral,True
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,True,positive,True,positive,True
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,positive,positive,True,neutral,False,positive,True
"The most important export markets are Norway , Germany , Russia and France .",neutral,neutral,True,neutral,True,positive,False
"Several large stocks tacked lower , however .",negative,negative,True,negative,True,neutral,False
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,neutral,True,neutral,True,neutral,True
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive,positive,True,positive,True,neutral,False
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,negative,True,negative,True,negative,True
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral,neutral,True,neutral,True,neutral,True
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,neutral,negative,False,negative,False,negative,False
"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",neutral,neutral,True,neutral,True,neutral,True
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,negative,negative,True,negative,True,neutral,False
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,positive,True,positive,True,neutral,False
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral,neutral,True,neutral,True,neutral,True
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,negative,True,negative,True,neutral,False
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,positive,neutral,False,neutral,False,positive,True
"It 's `` finger-friendly '' , and to my opinion , really fast .",neutral,neutral,True,positive,False,positive,False
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive,True,positive,True,neutral,False
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,True,positive,True,neutral,False
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,neutral,negative,False,neutral,True,neutral,True
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,negative,negative,True,negative,True,neutral,False
Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,negative,negative,True,negative,True,neutral,False
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",neutral,negative,False,negative,False,neutral,True
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,negative,negative,True,neutral,False,negative,True
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",neutral,neutral,True,neutral,True,neutral,True
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .,neutral,neutral,True,neutral,True,neutral,True
"According to CEO Hannu Syrj+ñnen , a new common name and visual identity is required as the group has grown and internationalised .",neutral,neutral,True,neutral,True,neutral,True
The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral,positive,False,neutral,True,neutral,True
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative,negative,True,negative,True,negative,True
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",positive,positive,True,positive,True,neutral,False
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral,neutral,True,neutral,True,neutral,True
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",neutral,negative,False,negative,False,neutral,True
Finnish Bank of +àland +àlandsbanken has issued a profit warning .,neutral,negative,False,negative,False,neutral,True
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative,negative,True,negative,True,neutral,False
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,negative,negative,True,negative,True,negative,True
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,positive,neutral,False,neutral,False,neutral,False
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",negative,negative,True,negative,True,negative,True
"Kiosk and cinema operations have suffered , in particular .",negative,negative,True,negative,True,negative,True
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,positive,positive,True,positive,True,positive,True
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,negative,negative,True,negative,True,negative,True
"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",neutral,neutral,True,neutral,True,neutral,True
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,negative,True,negative,True,neutral,False
Sainsbury sales slip again as price pressures take a toll,negative,negative,True,negative,True,negative,True
"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",positive,positive,True,positive,True,neutral,False
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,negative,negative,True,negative,True,neutral,False
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,neutral,True,neutral,True,negative,False
$FB they are hitting  everything in sight.short it. but twtr,negative,neutral,False,neutral,False,neutral,False
HSBC Says Unit to Book $585 Million Charge on Settlement,negative,neutral,False,neutral,False,neutral,False
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive,negative,False,neutral,False,positive,True
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative,negative,True,negative,True,neutral,False
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative,negative,True,negative,True,neutral,False
com and possibly also through photo-msn .,neutral,neutral,True,neutral,True,neutral,True
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein .",neutral,neutral,True,neutral,True,neutral,True
$GTE LONG at 7.44,positive,neutral,False,neutral,False,neutral,False
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,neutral,True,neutral,True,neutral,True
"The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy .",neutral,neutral,True,neutral,True,neutral,True
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",negative,negative,True,negative,True,negative,True
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,positive,True,positive,True,neutral,False
International operations accounted for over 80 % of net sales .,neutral,neutral,True,neutral,True,positive,False
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",positive,positive,True,positive,True,positive,True
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive,positive,True,positive,True,neutral,False
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",negative,negative,True,negative,True,neutral,False
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",negative,negative,True,negative,True,negative,True
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",neutral,neutral,True,neutral,True,neutral,True
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,positive,True,positive,True,positive,True
"Cash flow after investments amounted to EUR45m , down from EUR46m .",negative,negative,True,negative,True,neutral,False
"Russia 's top container shipping group , Fesco , and Finnish logistics company Nurminen Logistics have started a pilot project offering clients direct intermodal transportation service from Finland to Asia Pacific countries , Fesco said in a statement .",positive,positive,True,neutral,False,neutral,False
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,neutral,negative,False,negative,False,negative,False
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,negative,negative,True,negative,True,neutral,False
$AMZN new HOD with conviction keeping $570 on watch for Resistance.,positive,positive,True,neutral,False,neutral,False
Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,negative,negative,True,negative,True,negative,True
Meggitt share price tumbles as profit falls in 'challenging year',negative,negative,True,negative,True,negative,True
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,negative,negative,True,negative,True,neutral,False
The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive,positive,True,neutral,False,positive,True
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative,negative,True,negative,True,neutral,False
"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers .",neutral,neutral,True,neutral,True,neutral,True
He said : `` It is for sale again and we will be actively marketing it .,neutral,positive,False,neutral,True,neutral,True
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,negative,negative,True,negative,True,negative,True
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral,neutral,True,neutral,True,neutral,True
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive,positive,True,positive,True,neutral,False
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",neutral,neutral,True,neutral,True,neutral,True
what is up with $HK..... from Jan to now it's been a sinking ship...,negative,negative,True,negative,True,negative,True
"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",neutral,neutral,True,neutral,True,neutral,True
AstraZeneca sells US drug rights to Perrigo for $380 mln,positive,neutral,False,neutral,False,neutral,False
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,neutral,False,neutral,False,positive,True
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,negative,True,negative,True,neutral,False
The veneer and plywood industry in Sweden is quite small despite the raw material resources .,neutral,neutral,True,neutral,True,neutral,True
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",negative,negative,True,negative,True,negative,True
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,positive,True,neutral,False,neutral,False
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative,neutral,False,neutral,False,neutral,False
Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,neutral,neutral,True,neutral,True,neutral,True
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral,neutral,True,neutral,True,neutral,True
$CRUS Upgraded to a buy by Alpha Street Research,positive,positive,True,positive,True,positive,True
GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral,neutral,True,neutral,True,neutral,True
The layoff talks were first announced in August .,neutral,neutral,True,neutral,True,neutral,True
The transaction value is CAD 15 million approximately EUR 10 million .,neutral,neutral,True,neutral,True,neutral,True
The total need for staff cuts corresponds to about 300 man-years .,negative,negative,True,neutral,False,negative,True
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,neutral,False,neutral,False,neutral,False
"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",positive,neutral,False,neutral,False,neutral,False
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,positive,True,positive,True,neutral,False
Sainsbury sells unit to LloydsPharmacy,positive,neutral,False,neutral,False,neutral,False
Primark racks up a happy Christmas after strong sales,positive,positive,True,positive,True,positive,True
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative,negative,True,neutral,False,negative,True
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral,neutral,True,neutral,True,neutral,True
The actions are expected to deliver annual cost savings of some EUR15-20m .,positive,positive,True,positive,True,neutral,False
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,neutral,True,positive,False,neutral,True
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral,neutral,True,neutral,True,neutral,True
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,positive,True,positive,True,neutral,False
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,neutral,True,neutral,True,neutral,True
"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive,positive,True,positive,True,neutral,False
Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,positive,positive,True,positive,True,neutral,False
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,positive,positive,True,positive,True,positive,True
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative,negative,True,negative,True,neutral,False
"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 .",neutral,neutral,True,neutral,True,neutral,True
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,positive,True,positive,True,neutral,False
$LUV Continues to consolidate above previous break out area...,positive,positive,True,positive,True,positive,True
Full-year operating result for 2008 was 3.6 million negative .,neutral,negative,False,negative,False,negative,False
